Country,Year,PPP_T,PPP_I,GB_T,GB_I,MIVA,DCM,GFCFM,MFDI,treated,control,country_num,ln_PPP_T,ln_PPP_I,ln_GB_T,ln_GB_I,ln_MIVA,ln_DCM,ln_GFCFM,ln_MFDI
United Kingdom,2019,63700,25480,14491,1127,0.102,0.596,97900,24300,1,0,29,11.06194019,10.14564896,9.581283569,7.027315617,-2.273026228,-0.515838146,11.49170208,10.09823132
United Kingdom,2020,71500,28600,19714,2509,0.099,0.568,76600,18200,1,0,29,11.17745304,10.2611618,9.889084816,7.827640057,-2.302585125,-0.563874841,11.2463522,9.809177399
United Kingdom,2021,80300,31720,32087,3362,0.102,0.541,87800,20100,1,0,29,11.29352474,10.36470318,10.3762064,8.12029171,-2.273026228,-0.612489283,11.38281631,9.908474922
United Kingdom,2022,89100,34840,25812,1201,0.103,0.514,94200,19800,1,0,29,11.39751434,10.45852184,10.15859509,7.090910435,-2.263364315,-0.663588405,11.45317554,9.893437386
Zambia,2015,0,0,0,0,0.106,0.117,1042,321,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.234926462,-2.137070656,6.948898315,5.771444321
Zambia,2016,0,0,0,0,0.104,0.112,917,284,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.253794909,-2.18036747,6.821108341,5.648977757
Zambia,2017,0,0,0,0,0.102,0.107,823,243,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.273026228,-2.225624084,6.712957382,5.493065357
Zambia,2018,0,0,0,0,0.098,0.102,752,202,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.312635422,-2.273026228,6.622737885,5.308272839
Zambia,2019,0,0,0,0,0.094,0.097,694,162,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.353878498,-2.322787762,6.542473316,5.087602615
Zambia,2020,0,0,0,0,0.088,0.092,542,121,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.419118881,-2.375155687,6.295268059,4.795798779
Zambia,2021,0,0,0,0,0.082,0.087,627,142,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.488914728,-2.430418491,6.440948009,4.955833912
Zambia,2022,0,0,0,0,0.08,0.082,712,163,0,1,30,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.513306141,-2.488914728,6.568079472,5.093756199
Zimbabwe,2015,0,0,0,0,0.114,0.083,483,102,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.1628232,-2.476938486,6.180018902,4.624982834
Zimbabwe,2016,0,0,0,0,0.111,0.065,412,78,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.18925643,-2.718100548,6.021025658,4.356721878
Zimbabwe,2017,0,0,0,0,0.108,0.051,356,54,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.216407299,-2.956511497,5.87493372,3.989002466
Zimbabwe,2018,0,0,0,0,0.105,0.042,314,42,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.244316101,-3.146555185,5.749396324,3.73769331
Zimbabwe,2019,0,0,0,0,0.102,0.036,282,32,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.273026228,-3.29683733,5.641910553,3.465767145
Zimbabwe,2020,0,0,0,0,0.098,0.031,220,24,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.312635422,-3.442019463,5.393631935,3.178095579
Zimbabwe,2021,0,0,0,0,0.094,0.027,258,31,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.353878498,-3.575550795,5.552963257,3.434019566
Zimbabwe,2022,0,0,0,0,0.09,0.022,296,39,0,1,31,-6.907755375,-6.907755375,-6.907755375,-6.907755375,-2.396895885,-3.772261143,5.69036293,3.663587332
